salary,city,cc
$78530.62,Kibondo,782
$14312.27,Kaducondong,513
$17287.87,Linköping,1077
$28395.50,Inhambane,427
$41104.25,Yujia’ao,1424
$17705.30,Toulouse,921
$39117.36,Malvas,573
$59626.03,Ovruch,1461
$15550.62,Maipú,225
$55308.47,Nguluhan,694
$93056.57,Nzérékoré,1061
$1505.98,Ruangwa,611
$48832.91,Reguenga,1498
$41224.41,Aliuroba,918
$62875.22,Przytyk,235
$59757.81,Pýli,89
$38824.95,Öldziyt,1317
$36790.57,Leonidovo,128
$20258.94,Rtishchevo,582
$69363.73,Cuntan,679
$54786.05,Sukadana,148
$58963.12,Néa Palátia,1368
$13390.90,Caicun,1332
$47285.09,Blagoveshchenka,635
$35358.05,Bao’an,397
$73865.55,Jangheung,1146
$37381.99,Hŭngnam,1412
$70083.18,Kampungsusah,49
$17608.08,Zehak,441
$34682.35,Al Manshāh,254
$31739.29,Cancela,99
$53528.19,Stockholm,307
$21673.16,Ábrego,66
$43212.33,Ylämaa,94
$32940.07,Lansing,1153
$84162.35,Pleszew,1133
$59597.62,Igreja,847
$71658.66,Chishui,799
$61647.56,Na Yong,1092
$42968.52,Bindura,732
$19730.60,Putang,387
$34312.17,Sabaneta,134
$810.82,Velikiye Borki,1438
$29954.35,Phanna Nikhom,428
$7536.21,Palaiópyrgos,1178
$55499.78,Saaban,954
$23700.68,Sumenep,153
$8022.92,Gaya,384
$71691.19,Balaklava,611
$47177.06,Guanba,1149
$43799.59,Piet Retief,192
$75616.41,Val-de-Reuil,1348
$85579.84,Chkalov,833
$25805.11,Eindhoven,1216
$77728.47,Surulangun Rawas,454
$68275.09,Granada,491
$17908.53,Housuo,1299
$11809.09,Daulatpur,996
$3360.88,Maisons-Alfort,155
$42668.38,Aramayuan,859
$18876.93,Darnah,422
$71617.94,Zbarazh,576
$72376.43,Bawshar,451
$17410.23,Kalengwa,947
$96566.47,Panitian,767
$66902.85,Jishu,618
$48579.83,Rublëvo,1006
